taxonID	acceptedNameUsageID	taxonomicStatus	family	genus	specificEpithet	infraspecificEpithet	scientificName	taxonRank	scientificNameAuthorship	nameAccordingTo	nameAccordingToID	scientificNameID	namePublishedIn	references
tro-8200740		accepted	Combretaceae	Terminalia	valverdeae		Terminalia valverdeae	species	A.H. Gentry	TRO	8200740	urn:lsid:ipni.org:names:250588-2		
kew-2434185		doubtful	Combretaceae	Terminalia	vasivae		Terminalia vasivae	species	Spruce ex Eichler	WCSP (in review)		urn:lsid:ipni.org:names:171453-1		
kew-2434186		doubtful	Combretaceae	Terminalia	velutina		Terminalia velutina	species	Rolfe	WCSP (in review)		urn:lsid:ipni.org:names:171454-1	Stapf O, Sprague TA, Rolfe RA, Clarke CB, Dawe MT, Wright CH (1906) Plantae Novae Daweanae in Uganda lectae. Journal of the Linnean Society of London, Botany 37(262): 495-544. doi: 10.1111/j.1095-8339.1906.tb00847.x.	http://doi.org/10.1111/j.1095-8339.1906.tb00847.x
kew-2434187		doubtful	Combretaceae	Terminalia	venosa		Terminalia venosa	species	Wall.	WCSP (in review)		urn:lsid:ipni.org:names:171455-1		
kew-2434188		doubtful	Combretaceae	Terminalia	verdickii		Terminalia verdickii	species	De Wild. & Ledoux	WCSP (in review)		urn:lsid:ipni.org:names:171456-1		
kew-2434189		accepted	Combretaceae	Terminalia	vermae		Terminalia vermae	species	M.Gangop. & Chakrab.	WCSP (in review)		urn:lsid:ipni.org:names:961374-1		
kew-2434167		doubtful	Combretaceae	Terminalia	vernix		Terminalia vernix	species	Lam.	WCSP (in review)		urn:lsid:ipni.org:names:171457-1		
kew-2434184		doubtful	Combretaceae	Terminalia	villosa		Terminalia villosa	species	Spreng.	WCSP (in review)		urn:lsid:ipni.org:names:171458-1		
kew-2434182		accepted	Combretaceae	Terminalia	virens		Terminalia virens	species	(Spruce ex Eichler) Alwan & Stace	WCSP (in review)		urn:lsid:ipni.org:names:285919-2	Al-Mayah ARAA, Stace CA (1989) New Species, Names, and Combinations in American Combretaceae. Annals of the Missouri Botanical Garden 76(4): 1125. doi: 10.2307/2399697.	http://doi.org/10.2307/2399697
kew-2434160	kew-2434251	synonym	Combretaceae	Terminalia	virgata		Terminalia virgata	species	Maguire & Exell	WCSP (in review)		urn:lsid:ipni.org:names:250589-2		
kew-2434161		doubtful	Combretaceae	Terminalia	vitiensis		Terminalia vitiensis	species	A.C.Sm.	WCSP (in review)		urn:lsid:ipni.org:names:171460-1		
kew-2434162		doubtful	Combretaceae	Terminalia	volucris		Terminalia volucris	species	R.Br. ex Benth.	WCSP (in review)		urn:lsid:ipni.org:names:171461-1		
kew-2434163		doubtful	Combretaceae	Terminalia	whitmorei		Terminalia whitmorei	species	Coode	WCSP (in review)		urn:lsid:ipni.org:names:171462-1	Goode MJE (1969) Four New Species of Terminalia L. (Combretaceae) from Melanesia. Kew Bulletin 23(2): 299-310. doi: 10.2307/4108979.	http://doi.org/10.2307/4108979
